,Dhaka,Bagerhat,Bandarban,Barguna,Barisal,Bhola,Bogra,Brahmanbaria,Chandpur,Chittagong,Chuadanga,Comilla,cox's,Dinajpur,Faridpur,Feni,Gaibandha,Gazipur,Gopalganj,Habiganj,Jamalpur,Jessore,Jhalokathi,Jhenaidah,Joypurhat,Khagrachhari,Khulna,Kishoreganj,Kurigram,Kushtia,Lakshmipur,Lalmonirhat,Madaripur,Magura,Population,Average Income (USD),Total Annual Rainfall (mm)
Dhaka,0,178,316,247,169,205,197,109,115,242,215,96,391,338,101,149,268,37,127,163,179,164,182,178,249,259,180,117,348,183,137,343,90,150,"9000000","3200","2200"
Bagerhat,178,0,437,160,119,155,328,283,182,363,175,269,512,467,140,270,397,215,52,336,357,93,100,139,378,381,34,290,477,184,209,472,110,136,"800000","1900","1800"
Bandarban,316,437,0,469,391,427,510,301,271,85,526,225,121,651,413,167,581,350,386,376,492,476,404,490,563,133,439,379,661,499,229,656,327,461,"150000","1500","3000"
Barguna,247,160,469,0,84,120,445,352,214,396,323,281,544,584,209,303,513,284,196,406,426,209,95,286,495,413,150,360,594,301,241,589,143,258,"300000","1600","2500"
Barisal,169,119,391,84,0,36,366,273,135,317,244,202,465,505,131,224,435,206,117,327,348,168,19,207,416,334,109,281,515,222,162,510,64,179,"600000","2100","2200"
Bhola,205,155,427,120,36,0,402,309,171,353,280,238,501,541,167,260,471,242,153,363,384,204,55,243,452,370,145,317,551,258,198,546,100,215,"400000","1800","2300"
Bogra,197,328,510,445,366,402,0,274,309,437,192,291,585,141,239,344,71,169,324,328,172,235,379,190,52,454,295,201,151,144,331,146,287,217,"900000","2000","1900"
Brahmanbaria,109,283,301,352,273,309,274,0,143,227,320,81,375,416,206,134,345,114,231,76,203,269,287,283,327,244,285,79,425,268,164,420,195,254,"700000","1950","2100"
Chandpur,115,182,271,214,135,171,309,143,0,198,257,67,346,450,144,105,380,149,130,218,291,195,149,220,361,215,184,221,460,235,43,455,71,192,"500000","1850","2000"
Chittagong,242,363,85,396,317,353,437,227,198,0,453,151,160,578,339,93,507,276,312,302,418,402,330,416,489,117,366,305,588,425,155,583,253,387,"2500000","3000","2500"
Chuadanga,215,175,526,323,244,280,192,320,257,453,0,306,601,331,118,360,261,237,171,373,276,82,231,37,243,470,142,305,341,49,284,336,186,65,"400000","1700","1600"
Comilla,96,269,225,281,202,238,291,81,67,151,306,0,300,432,193,58,361,130,218,156,272,256,215,270,343,169,272,159,441,279,89,436,138,241,"1200000","2100","2100"
cox's,0,391,512,121,544,465,501,585,375,346,160,601,300,0,726,487,241,655,425,460,450,567,550,479,564,637,252,514,453,736,573,303,731,401,"300000","1600","3200"
Dinajpur,338,467,651,584,505,541,141,416,450,578,331,432,726,0,378,485,120,310,463,469,313,374,519,329,89,595,434,342,134,283,472,129,428,355,"1000000","2000","1700"
Faridpur,101,140,413,209,131,167,239,206,144,339,118,193,487,378,0,246,308,128,89,260,235,96,144,81,290,356,155,214,388,96,171,383,73,52,"500000","1800","1900"
Feni,149,270,167,303,224,260,344,134,105,93,360,58,241,485,246,0,414,183,219,209,325,309,237,323,396,110,273,212,495,332,62,490,160,294,"350000","1750","2300"
Gaibandha,268,397,581,513,435,471,71,345,380,507,261,361,655,120,308,414,0,239,392,399,243,304,448,259,77,524,363,271,120,212,402,115,358,285,"400000","1600","2000"
Gazipur,37,215,350,284,206,242,169,114,149,276,237,130,425,310,128,183,239,0,164,168,151,216,219,200,221,294,217,99,320,184,171,315,127,172,"2000000","2800","2100"
Gopalganj,127,52,386,196,117,153,324,231,130,312,171,218,460,463,89,219,392,164,0,285,305,89,91,135,374,329,54,239,473,180,157,468,59,105,"600000","1900","2200"
Habiganj,163,336,376,406,327,363,328,76,218,302,373,156,450,469,260,209,399,168,285,0,257,322,340,336,380,319,338,132,479,322,239,474,248,308,"500000","1700","2500"
Jamalpur,179,357,492,426,348,384,172,203,291,418,276,272,567,313,235,325,243,151,305,257,0,319,361,274,224,436,378,125,323,227,313,318,269,278,"700000","1850","2000"
Jessore,164,93,476,209,168,204,235,269,195,402,82,256,550,374,96,309,304,216,89,322,319,0,148,46,286,419,59,277,384,92,222,379,124,44,"800000","1900","2100"
Jhalokathi,182,100,404,95,19,55,379,287,149,330,231,215,479,519,144,237,448,219,91,340,361,148,0,194,430,348,90,294,528,236,176,523,77,193,"350000","1650","2400"
Jhenaidah,178,139,490,286,207,243,190,283,220,416,37,270,564,329,81,323,259,200,135,336,274,46,194,0,240,433,105,281,339,46,248,334,149,28,"600000","1750","2200"
Joypurhat,249,378,563,495,416,452,52,327,361,489,243,343,637,89,290,396,77,221,374,380,224,286,430,240,0,506,345,253,157,194,384,152,340,267,"500000","1700","2000"
Khagrachhari,259,381,133,413,334,370,454,244,215,117,470,169,252,595,356,110,524,294,329,319,436,419,348,433,506,0,383,322,605,442,172,600,270,405,"350000","1600","3000"
Khulna,180,34,439,150,109,145,295,285,184,366,142,272,514,434,155,273,363,217,54,338,378,59,90,105,345,383,0,292,444,151,211,439,113,103,"1500000","2500","2300"
Kishoreganj,117,290,379,360,281,317,201,79,221,305,305,159,453,342,214,212,271,99,239,132,125,277,294,281,253,322,292,0,352,256,242,347,203,253,"700000","1800","2100"
Kurigram,348,477,661,594,515,551,151,425,460,588,341,441,736,134,388,495,120,320,473,479,323,384,528,339,157,605,444,352,0,293,482,29,438,365,"400000","1650","2000"
Kushtia,183,184,499,301,222,258,144,268,235,425,49,279,573,283,96,332,212,184,180,322,227,92,236,46,194,442,151,256,293,0,262,288,164,73,"900000","2000","1900"
Lakshmipur,137,209,229,241,162,198,331,164,43,155,284,89,303,472,171,62,402,171,157,239,313,222,176,248,384,172,211,242,482,262,0,477,98,219,"500000","1700","2100"
Lalmonirhat,343,472,656,589,510,546,146,420,455,583,336,436,731,129,383,490,115,315,468,474,318,379,523,334,152,600,439,347,29,288,477,0,433,360,"300000","1600","1800"
Madaripur,90,110,327,143,64,100,287,195,71,253,186,138,401,428,73,160,358,127,59,248,269,124,77,149,340,270,113,203,438,164,98,433,0,121,"600000","1850","2200"
Magura,150,136,461,258,179,215,217,254,192,387,65,241,536,355,52,294,285,172,105,308,278,44,193,28,267,405,103,253,365,73,219,360,121,0,"400000","1700",2100
